2997.66755 17.468 0.011
3007.86309 17.779 0.017
3331.82413 17.799 0.013
3337.72429 17.801 0.016
3355.79257 17.814 0.013
3359.79618 18.068 0.014
3362.82641 18.061 0.013
3365.81348 18.032 0.019
3373.74037 17.830 0.016
3381.73719 17.293 0.010
3389.75563 18.038 0.014
3397.75927 17.837 0.018
3405.62828 17.320 0.009
3713.76743 18.100 0.013
3718.71741 17.833 0.018
3722.67476 18.052 0.017
3733.68896 17.817 0.011
3742.62438 17.811 0.014
3751.63325 17.797 0.016
3759.66444 17.301 0.009
3775.73872 17.837 0.014
3783.65241 17.281 0.011
4065.72615 17.408 0.009
4074.68278 17.375 0.013
4095.67671 17.392 0.009
4103.70744 18.132 0.025
4126.72171 17.913 0.013
4377.86603 17.540 0.011
4397.81501 18.097 0.020
4423.78613 17.917 0.014
4434.81909 17.498 0.011
4452.77014 17.488 0.011
4459.78376 17.920 0.019
4466.75232 18.063 0.015
4468.78998 17.915 0.013
4480.76531 17.894 0.011
4485.81784 17.529 0.011
4511.69518 18.048 0.014
4542.57067 17.396 0.013
