 627.92191 15.519 0.007
 628.93123 15.750 0.007
 632.93155 15.924 0.008
 633.93602 15.455 0.006
 635.93114 15.909 0.008
 643.89990 15.607 0.006
 645.90341 15.248 0.006
 649.87271 15.556 0.007
 656.91848 15.734 0.007
 657.85969 15.933 0.008
 664.82269 15.321 0.006
 664.91122 15.355 0.006
 665.89821 15.629 0.007
 666.90874 15.850 0.007
 667.91958 15.311 0.006
 668.89013 15.602 0.006
 670.85577 15.262 0.006
 671.87834 15.567 0.006
 672.93187 15.779 0.007
 673.73411 15.780 0.007
 684.81088 15.674 0.007
 686.79183 15.364 0.006
 688.89667 15.870 0.008
 697.75267 15.758 0.007
 698.89872 15.390 0.007
 699.75518 15.512 0.006
 701.73625 15.923 0.007
 704.70855 15.927 0.008
 706.73227 15.687 0.007
 707.76828 15.909 0.008
 708.73578 15.384 0.007
 712.73616 15.607 0.008
 713.77385 15.845 0.007
 714.78927 15.304 0.006
 716.72289 15.795 0.007
 720.69845 15.570 0.007
 726.75584 15.905 0.007
 728.65463 15.696 0.007
 729.72153 15.924 0.007
 733.70767 15.389 0.007
 739.77263 15.290 0.006
 741.69917 15.800 0.007
 744.74145 15.779 0.009
 745.69274 15.581 0.006
 747.63164 15.741 0.007
 748.59318 15.912 0.008
 749.60087 15.476 0.007
 750.59545 15.699 0.007
 751.60258 15.930 0.008
 752.80514 15.505 0.007
 755.60138 15.397 0.006
 759.60738 15.640 0.007
 760.61377 15.823 0.007
 761.61076 15.276 0.006
 762.60133 15.599 0.007
 763.62031 15.795 0.007
 763.78958 15.832 0.009
 764.70754 15.278 0.007
 765.65165 15.575 0.007
 766.54784 15.765 0.009
 767.59692 15.510 0.007
 767.65565 15.368 0.007
 769.57989 15.746 0.007
 770.56764 15.855 0.007
 771.58221 15.521 0.007
 772.58093 15.740 0.007
 773.64277 15.890 0.008
 775.62511 15.717 0.007
 776.61437 15.927 0.007
 777.55902 15.439 0.007
 778.59684 15.681 0.007
 779.57719 15.893 0.008
